cve_ent,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,pct_no_med_insurance,pct_med_insurance,pct_pop_obesity,pct_pop_hypertension,pct_pop_diabetes,average_years_finish,average_household_size,pct_household_tics,pct_household_no_tics,population/sqkm
8037,1748.3429242352877,86.6252995023653,254.48314936549872,7.304103267732929,4.403623381321975,10.512925532277992,1.4040261309414102,87.19658959813779,19.20180486439625,83.62187954373248,42.43169155280492,23.229753679747848,9.629060735898758,10.18,3.35,99.57948790972118,0.4205120902788284,409.46449713242407
8038,1974.353755342968,610.6248727864848,284.9582739670263,0.0,7.510685935273763,14.329330348056176,0.875228984327295,79.13698351312843,7.815998371667006,93.36454304905352,47.10417610274879,25.383510957859457,10.416593947181576,7.93,2.95,98.87307236061685,1.126927639383155,1.1964545931072212
8039,1036.388760939659,0.0,276.3703362505758,0.0,6.310456011054813,12.7360663288807,0.5527406725011516,75.42607093505296,5.412252418240442,89.52095808383234,46.117322372717,27.72992882950521,10.158929299326031,8.59,3.13,99.14463452566096,0.8553654743390358,3.2452873378869893
8040,410.5249547452805,22.627359710369795,64.64959917248513,22.627359710369795,5.495215929661236,14.43625549521593,1.1022756658908714,60.295448668218256,10.343935867597622,70.35169381949832,42.58456152028761,36.41723544031579,10.40944163814545,7.99,3.09,99.03976363412532,0.9602363658746768,3.542778983001775
8041,173.3102253032929,57.770075101097625,57.770075101097625,57.770075101097625,2.4263431542461005,6.990179087232813,0.4043905257076834,65.39572501444252,3.5239745811669554,71.40381282495667,43.716685329792696,16.866309820184362,9.664685462780993,6.41,2.86,64.60176991150442,35.39823008849557,1.729051430339862
8042,3649.167733674776,0.0,256.08194622279126,0.0,2.0486555697823303,4.353393085787452,0.6402048655569782,68.11779769526248,4.225352112676056,70.6786171574904,40.986143636688205,27.0444272631118,11.874421196799998,6.43,2.51,93.17697228144988,6.823027718550106,0.3114419413059541
8043,241.98427102238355,0.0,60.49606775559589,0.0,4.4464609800362975,9.467634603750756,0.7259528130671506,68.75378100423472,10.949788263762857,71.9600725952813,42.03834419742349,29.955873870990047,11.045703203787532,7.32,2.77,98.48484848484848,1.5151515151515151,4.557735300314215
8044,804.6214153084381,226.94450175366208,61.893955023726015,20.631318341242007,4.311945533319579,16.216216216216218,0.5570455952135341,68.02145657107489,7.035279554363524,81.72065194965958,41.42982795933028,26.851800406751103,9.93700363172552,8.26,3.11,98.9075018208303,1.0924981791697013,4.13258744911967
8045,733.8004228680403,31.093238257120355,178.26789934082336,4.14576510094938,4.701297624476597,10.93445545375399,1.30384312424858,76.65312383400357,13.996102980805109,78.81928609924962,42.04867785261497,24.314376087318117,9.39375407308795,8.78,3.23,99.46520199465202,0.53479800534798,112.84072728565754
8046,108.31628354796004,24.07028523288001,12.035142616440003,0.0,3.9475267781923216,10.614995787700083,0.5295462751233602,72.69226140329764,26.272716331688528,61.114454206282346,30.77190222343217,18.773300442143324,8.24366185352058,5.45,3.83,59.100642398286936,40.89935760171306,3.8372959429447455
