cve_ent,municipality,case_rate,case_rate_last_60_days,death_rate,death_rate_last_60_days,population,pct_disability,pct_limitation,pct_mental_problem,pct_no_problems,average_years_finish,pct_no_med_insurance,pct_med_insurance,average_household_size,pct_household_tics,pct_household_no_tics,pct_pop_0_14_years_old,pct_pop_15_64_years_old,pct_pop_65_more_years_old
20548,Tepelmeme Villa de Morelos,1058.8235294117646,117.6470588235294,117.6470588235294,0.0,1700,13.76470588235294,22.58823529411765,1.0588235294117647,78.88235294117646,6.92,25.705882352941178,89.47058823529412,3.26,91.34775374376039,8.652246256239602,35.88235294117647,62.82352941176471,16.58823529411765
20549,Villa Tezoatlan de Segura y Luna,377.2260724624968,157.90858847267305,35.09079743837179,0.0,11399,9.860514080182472,14.781998420914116,1.6931309764014388,75.366260198263,6.19,27.62523028335819,72.91867707693658,3.45,88.6294724075197,11.370527592480292,26.502324765330293,57.794543380998334,16.282130011404508
20550,San Jeronimo Tlacochahuaya,1618.798955613577,69.62576153176676,208.87728459530027,0.0,5745,9.27763272410792,19.442993907745866,0.7832898172323759,71.43603133159269,8.53,37.18015665796345,63.133159268929504,3.68,97.63275751759437,2.36724248240563,23.289817232375977,65.30896431679722,11.731940818102698
20551,Tlacolula de Matamoros,2988.3048237399594,391.22653681275233,295.50089482665334,4.161984434178216,24027,7.86198859616265,19.86098971989845,1.327673034502851,97.361301868731,9.19,51.65855079702002,73.9751113330836,3.52,98.32455720440402,1.675442795595979,33.624672243725804,82.6903067382528,9.585050151912432
20552,Tlacotepec Plumas,643.7768240343347,0.0,214.5922746781116,0.0,466,7.296137339055794,17.167381974248926,1.0729613733905579,63.519313304721024,6.95,4.506437768240343,83.47639484978541,2.97,92.02898550724638,7.971014492753622,19.313304721030043,47.63948497854077,21.030042918454935
20553,Tlalixtac de Cabrera,2850.073313782991,311.58357771260995,36.65689149560117,0.0,10912,4.3713343108504406,11.922653958944283,1.493768328445748,93.01686217008798,9.69,53.2258064516129,56.918988269794724,3.87,98.0436177036562,1.9563822963438102,27.263563049853374,73.94611436950147,9.04508797653959
20554,Totontepec Villa de Morelos,125.51551013089475,17.930787161556392,35.861574323112784,0.0,5577,9.467455621301776,14.41635287789134,0.8248162094315941,81.7823202438587,5.96,23.973462435000897,81.88990496682804,3.86,81.62055335968378,18.379446640316203,34.30159584005738,59.69159046082123,11.870181100950331
20555,Trinidad Zaachila,1260.9117361784674,64.66214031684449,64.66214031684449,0.0,3093,5.851923698674426,11.154219204655675,0.7112835434852893,93.3074684772066,7.9,48.722922728742326,61.72001293242806,3.78,97.01657458563537,2.983425414364641,26.7377950210152,71.3546718396379,12.447462010992563
20556,La Trinidad Vista Hermosa,772.2007722007722,386.1003861003861,386.1003861003861,0.0,259,6.177606177606178,27.413127413127413,0.3861003861003861,84.16988416988417,7.51,28.957528957528954,88.8030888030888,3.36,93.4065934065934,6.593406593406594,33.204633204633204,66.02316602316603,18.91891891891892
20557,Union Hidalgo,659.9838117178258,224.14544548907293,112.07272274453646,12.452524749392936,16061,6.462860344934936,13.598157026337091,0.7409252225888798,70.28204968557375,9.25,36.78475810970674,53.71396550650645,3.41,95.71026722925457,4.289732770745429,20.8143951186103,58.38988854990349,11.331797521947575
20558,Valerio Trujano,1502.7322404371585,614.7540983606557,68.30601092896175,68.30601092896175,1464,8.811475409836065,19.87704918032787,1.1612021857923498,65.1639344262295,7.86,12.636612021857923,81.35245901639344,3.18,92.60969976905312,7.390300230946882,20.833333333333336,59.97267759562842,13.183060109289618
20559,San Juan Bautista Valle Nacional,320.9242618741977,42.78990158322636,21.39495079161318,0.0,23370,6.718014548566538,13.915275994865212,1.6602481814291827,77.43260590500641,7.56,17.008985879332478,81.69448010269576,3.8,88.36900613904099,11.630993860959018,27.08172871202396,61.412066752246474,10.209670517757809
20560,Villa Diaz Ordaz,243.55300859598856,14.326647564469914,57.306590257879655,14.326647564469914,6980,7.320916905444126,15.05730659025788,1.4469914040114613,69.44126074498568,6.24,66.64756446991404,25.587392550143267,3.73,96.1405529953917,3.859447004608295,22.220630372492835,57.13467048710602,12.908309455587391
20561,Yaxe,204.42930153321976,102.21465076660988,0.0,0.0,2935,6.2010221465076665,12.504258943781943,0.7155025553662692,81.6695059625213,7.28,30.868824531516182,69.77853492333901,3.57,88.88888888888889,11.11111111111111,27.155025553662693,65.14480408858603,8.347529812606473
20562,Magdalena Yodocono de Porfirio Diaz,437.2267332916927,124.92192379762648,0.0,0.0,1601,6.74578388507183,17.926296064959402,1.3741411617738912,80.07495315427857,7.99,23.048094940662086,82.01124297314179,3.49,93.86892177589851,6.13107822410148,28.48219862585884,66.08369768894441,10.493441599000624
20563,Yogana,155.03875968992247,0.0,0.0,0.0,1290,11.705426356589149,14.573643410852712,0.9302325581395349,70.07751937984497,4.43,26.666666666666668,69.76744186046511,3.28,84.43271767810026,15.567282321899736,21.085271317829456,57.20930232558139,18.217054263565892
20564,Yutanduchi de Guerrero,0.0,0.0,0.0,0.0,1200,21.0,20.916666666666668,2.166666666666667,57.58333333333333,6.29,10.833333333333334,88.66666666666667,3.04,83.03341902313625,16.966580976863753,27.666666666666668,51.0,20.916666666666668
20565,Villa de Zaachila,2168.8084361525,213.46539725910432,117.40596849250736,0.0,46846,4.5041198821671005,11.469495794731674,1.338428040814584,82.59830081543782,9.15,41.111300858130896,58.04337616872305,3.93,97.87432249322492,2.1256775067750677,27.955428425052297,65.1090808179994,6.115783631473338
20566,San Mateo Yucutindoo,94.9667616334283,0.0,0.0,0.0,3159,6.489395378284267,14.213358657803102,0.7597340930674265,78.63247863247864,6.25,11.522633744855968,88.00253244697689,3.44,67.5194660734149,32.48053392658509,31.180753402975625,57.92972459639126,10.41468819246597
20567,Zapotitlan Lagunas,122.39902080783352,0.0,30.59975520195838,0.0,3268,13.739290085679315,19.461444308445532,1.101591187270502,69.82864137086904,5.25,18.2374541003672,85.18971848225215,3.88,91.97247706422019,8.027522935779817,32.496940024479805,57.129742962056305,13.83108935128519
20568,Zapotitlan Palmas,803.2128514056224,0.0,133.86880856760374,0.0,1494,14.99330655957162,15.39491298527443,0.6693440428380187,82.93172690763052,6.31,29.451137884872825,84.00267737617135,3.47,94.67213114754098,5.327868852459016,31.994645247657296,64.85943775100401,16.599732262382865
20569,Santa Ines de Zaragoza,239.23444976076556,0.0,0.0,0.0,1672,11.66267942583732,19.617224880382775,1.6148325358851676,55.5622009569378,6.49,13.815789473684212,73.14593301435407,2.93,83.92484342379957,16.075156576200417,24.880382775119617,41.02870813397129,21.052631578947366
20570,Zimatlan de Alvarez,1555.6193758376412,119.66302891058778,153.16867700555235,0.0,20892,6.8686578594677385,12.401876316293318,1.3641585295807006,85.75531303848362,8.65,57.11755695960176,48.516178441508714,3.76,94.88403819918145,5.115961800818554,27.766609228412793,67.27934137468887,10.621290446103773
21001,Acajete,312.6990561121084,24.6105738606752,60.80259424402108,1.4476808153338352,69076,4.377786785569518,10.326307255776246,1.0264056980716891,90.33962591927732,7.54,27.969193352249693,77.46395274769819,4.79,97.45829502167346,2.5417049783265466,34.86594475650009,64.61723319242574,5.976026405698072
21002,Acateno,164.94845360824743,10.309278350515465,61.85567010309278,0.0,9700,7.773195876288659,12.164948453608247,1.0309278350515463,74.30927835051546,7.18,23.494845360824744,71.03092783505154,3.51,94.98276522405209,5.017234775947912,24.391752577319586,59.402061855670105,10.742268041237113
21003,Acatlan,1004.8252823585556,63.63009703589798,188.23903706453152,7.953762129487248,37718,9.128267670608198,15.965851847924068,1.1692030330346252,75.0357919295827,8.72,24.79187655761175,75.79139933188398,3.72,95.80626107501476,4.193738924985233,28.153666684341694,60.917864149742826,11.55681637414497
21004,Acatzingo,283.3042559661956,12.804712134065335,46.41708148598684,4.801767050274501,62477,3.6685500264097186,7.631608431902941,0.747475070826064,90.27322054516061,7.72,43.25751876690622,58.70480336763929,4.72,97.14518760195759,2.8548123980424145,33.457112217295965,63.52257630808137,4.9922371432687225
21005,Acteopan,255.4278416347382,0.0,127.7139208173691,0.0,3132,7.2796934865900385,12.547892720306514,1.0855683269476373,78.00127713920817,6.33,7.726692209450831,90.29374201787995,3.61,92.70588235294117,7.294117647058823,21.807151979565774,65.42145593869732,10.79182630906769
21006,Ahuacatlan,95.5052826359458,17.90724049423984,29.845400823733065,0.0,16753,2.883065719572614,5.748224198650988,0.7998567420760461,77.73533098549514,6.06,5.025965498716648,81.74655285620486,3.99,90.0082349711776,9.9917650288224,26.425117889333254,52.15185339939116,8.225392467020832
21007,Ahuatlan,320.88681446907816,29.171528588098013,116.68611435239204,0.0,3428,5.455075845974329,12.572928821470244,0.7584597432905484,74.00816802800468,6.13,6.76779463243874,85.4434072345391,4.01,87.57921419518378,12.420785804816223,28.383897316219368,50.52508751458576,13.331388564760793
21008,Ahuazotepec,223.4729349445456,8.276775368316503,41.38387684158252,0.0,12082,5.1150471776196,12.067538487005462,1.1090878993544115,77.08988578049993,8.44,32.718093030955146,61.95166363184903,3.91,98.36009566108643,1.6399043389135635,28.0830988246979,59.20377420956795,7.391160403906638
21009,Ahuehuetitla,475.43581616481777,52.826201796090864,211.30480718436343,52.826201796090864,1893,14.949815108293713,18.43634442683571,1.162176439513999,82.67300581088219,7.24,21.183306920232436,95.29846804014791,3.58,95.62398703403565,4.376012965964344,32.9635499207607,63.39144215530903,20.2324352879028
21010,Ajalpan,168.35497217862746,12.840633471251246,65.62990440861749,2.8534741047224994,70090,4.113282921957484,8.259380796119276,0.9516336139249536,93.87073762305607,6.63,27.33770866029391,79.29376515908119,4.79,92.54574638844302,7.454253611556982,35.143387073762305,66.13924953631046,5.384505635611357
21011,Albino Zertuche,681.6990036706869,0.0,104.8767697954903,0.0,1907,5.558468799160986,8.33770319874148,0.3146303093864709,84.74042999475616,6.52,23.282642894598844,75.45883586785527,3.69,85.32289628180038,14.677103718199607,29.680125852123755,56.6858940744625,12.480335605663345
21012,Aljojuca,303.46820809248555,0.0,43.35260115606936,0.0,6920,7.427745664739885,16.705202312138727,0.6502890173410405,71.02601156069365,7.57,19.95664739884393,75.28901734104046,3.86,98.41735052754983,1.5826494724501756,24.53757225433526,60.01445086705203,10.69364161849711
21013,Altepexi,248.0290548321375,0.0,110.72725662148994,0.0,22578,4.061475772876251,8.774027814686864,0.8902471432367791,86.97404553104792,6.92,38.293914429976084,61.91425281247231,4.8,97.70797962648557,2.2920203735144313,29.041544866684383,65.35565594826822,5.828682788555231
21014,Amixtlan,152.5262154432793,38.13155386081983,38.13155386081983,0.0,5245,5.910390848427073,11.801715919923737,0.6482364156339371,73.8417540514776,6.18,10.162059103908485,81.58245948522402,3.56,85.50295857988166,14.497041420118343,24.709246901811248,55.84366062917064,11.191611058150619
21015,Amozoc,506.5059820103048,54.77886012337152,70.65679059391398,0.0,125961,3.1319217853145025,8.943244337533047,0.9367978977620057,86.95310453235525,9.27,34.960821206563935,64.52314605314344,3.98,98.8538863384518,1.1461136615482033,28.030104556172148,66.81591921308977,4.662554282674796
